"","comuna_name","year","geography_unit","weighted_mean_income","weighted_median_income","weighted_gini_income","lb_weighted_mean_income","ub_weighted_mean_income","lb_weighted_median_income","ub_weighted_median_income","lb_weighted_gini_income","ub_weighted_gini_income"
"198","Canela",2006,3,84102,56958,0.439,78799,89920,54545,60728,0.408,0.469
"199","Cañete",2003,3,68256,52469,0.431,63827,74777,48572,58083,0.397,0.483
"200","Cañete",2011,3,97686,70841,0.424,87272,109301,63475,84095,0.383,0.462
"201","Cañete",2009,3,95256,79102,0.376,88246,103560,75049,83561,0.336,0.423
"202","Cañete",1992,3,25241,15459,0.467,23071,27641,14922,16574,0.438,0.493
"203","Cañete",1994,3,28333,19699,0.449,25822,31240,18772,20783,0.398,0.496
"204","Cañete",2015,3,141668,97008,0.431,135268,148602,91868,101784,0.414,0.445
"205","Cañete",2000,3,65609,43652,0.453,59699,71973,40839,45000,0.415,0.482
"206","Cañete",2006,3,87231,60600,0.428,80184,95577,58356,63330,0.392,0.471
"207","Carahue",2003,3,65892,44308,0.458,58806,71677,40287,48118,0.41,0.492
"208","Carahue",2009,3,99199,67142,0.47,89291,110246,60045,70600,0.419,0.52
"209","Carahue",2000,3,51753,36048,0.438,42446,83401,35237,44477,0.344,0.64
"210","Carahue",2011,3,120098,84408,0.449,108542,131964,75853,93275,0.418,0.475
"211","Carahue",2006,3,73324,49633,0.456,68670,78491,46607,53873,0.43,0.484
"212","Carahue",2015,3,141714,95844,0.431,126787,163107,94493,99401,0.384,0.497
"213","Cartagena",2003,3,99187,65720,0.438,85276,117875,61716,71267,0.395,0.483
"214","Cartagena",2009,3,134305,102679,0.4,122640,156136,96827,108118,0.348,0.461
"215","Cartagena",2006,3,140346,83177,0.536,122142,160204,79382,90118,0.489,0.575
"216","Cartagena",1998,3,83732,65166,0.405,76207,92165,54077,71825,0.37,0.433
"217","Cartagena",2011,3,148757,101944,0.464,120849,183324,88224,132645,0.387,0.512
"218","Cartagena",1994,3,54546,41153,0.412,49999,59168,38990,43216,0.379,0.443
